82 15 4 95 36 32 29 18 95 14 87 95 70 12 76 55 5 4 12 28 30 65 78 4 72 26 92 84 90 70 54 29 58 76 36 1 98 21 90 55 44 36 20 28 98 44 14 12 49 13 46 45 78 34 6 94 59 69 16 49 11 71 38 81 80 47 74 25 91 9 6 85 30 99 38 11 30 13 49 36 59 82 47 21 48 46 27 86 35 90 88 83 10 78 82 22 69 94 32 21
60 49 35 82 89 72 29 88 42 99 100 8 30 5 41 52 35 9 28 73 92 41 28 84 64 51 83 59 19 34 18 32 96 72 69 34 96 75 55 75 52 47 29 18 66 64 12 97 7 15 20 81 21 88 55 77 9 50 49 77 60 68 33 71 2 88 93 15 88 69 97 35 99 83 44 15 38 56 21 59 1 93 93 34 65 98 23 65 14 81 39 82 65 78 26 20 48 98 21 70
100 68 1 77 42 63 3 15 47 40 31 8 31 73 11 11 94 63 9 98 69 99 17 17 85 61 71 22 34 68 78 55 28 70 97 94 89 26 92 40 52 86 84 48 57 67 58 16 32 29 9 44 3 76 71 30 76 29 1 10 91 81 8 30 9 5 43 10 66 31 36 86 63 28 70 17 93 74 74 61 32 61 53 25 13 13 85 56 46 55 53 60 94 7 87 84 83 13 8 52
94 44 14 32 25 25 69 58 18 55 24 36 60 32 10 57 71 13 7 84 70 2 12 97 31 22 53 63 62 28 52 8 22 49 1 50 34 59 37 55 90 94 72 85 92 63 20 25 38 28 8 75 95 70 8 96 41 8 7 75 62 65 68 21 8 66 11 24 9 77 9 87 31 52 16 73 32 75 77 6 80 11 54 85 75 73 67 41 34 27 86 92 41 31 34 51 17 86 83 39
59 41 97 10 2 59 80 73 13 10 69 28 65 34 17 45 9 32 48 37 21 57 70 91 39 79 84 68 2 86 71 39 85 14 18 34 15 14 96 71 20 35 37 78 27 92 44 27 88 82 34 65 63 33 7 12 82 55 36 6 1 43 99 17 82 34 21 95 57 71 91 55 72 2 15 10 89 20 70 5 48 75 71 19 56 17 6 40 47 6 46 27 88 32 86 14 46 100 72 53
80 96 20 31 21 23 53 4 23 95 43 53 86 95 32 35 21 90 14 49 5 61 29 26 59 45 40 30 29 4 85 25 52 43 36 9 99 36 45 83 66 52 87 69 43 4 15 34 23 75 34 5 14 77 56 45 94 41 56 78 66 15 50 74 25 33 6 91 56 1 67 69 88 93 95 95 86 26 47 56 9 86 43 80 41 85 16 93 39 65 40 86 53 42 52 90 38 71 17 25
54 86 49 87 96 23 79 73 39 52 71 1 39 37 27 56 75 78 84 42 60 57 57 87 28 66 61 95 22 85 11 37 66 85 82 80 43 12 97 31 87 40 29 26 19 4 6 32 61 79 99 10 59 54 81 74 25 92 90 50 64 52 32 19 84 89 1 97 99 14 100 55 29 23 90 67 60 7 72 32 16 59 18 60 86 68 72 77 41 97 57 79 93 65 55 71 58 21 96 61
58 34 97 32 82 36 99 100 67 63 81 31 36 57 10 92 37 31 35 43 41 70 11 18 20 30 50 89 20 91 28 9 54 53 43 70 60 54 8 27 54 50 99 75 90 3 98 74 49 62 1 46 39 97 50 54 69 96 95 70 78 29 63 29 35 56 63 4 50 44 86 87 52 93 22 60 17 80 69 4 51 76 73 85 4 11 83 55 18 60 24 7 34 49 42 28 59 42 44 98
49 36 97 54 33 11 61 3 96 70 7 45 29 84 9 100 84 6 97 4 32 26 3 80 20 31 17 61 86 15 73 28 60 90 33 99 48 22 78 78 96 92 15 100 21 40 14 75 4 40 74 87 49 51 92 26 10 76 89 81 32 14 90 99 39 88 77 16 73 6 45 69 55 85 48 9 65 83 44 2 54 63 14 56 47 82 59 91 20 56 23 94 67 84 35 79 69 100 62 60
56 94 76 35 42 32 12 36 58 32 97 60 73 79 86 49 44 4 64 42 24 63 28 46 34 44 36 77 90 36 72 2 67 25 11 31 93 53 63 72 98 31 89 61 83 92 63 58 3 12 38 29 52 89 32 40 85 75 48 61 71 68 45 55 96 71 43 46 90 59 35 40 33 30 16 93 25 41 16 96 69 98 89 24 25 28 95 62 36 93 76 98 68 77 37 13 25 38 30 47
